	Jour	Annee	Mois	Jour.1	Depart	Arrivee	Pays	Km_jours	Km_cumule	Altitude	Lat_degres	Lat_minutes	Lat_decimale	Lat_radian	Long_degres	Long_minutes	Long_decimale	Long_radian	km_vol_oiseau	km_corde	km_segment	km_cumule	Unnamed: 22	Objet	Lieu	Contexte	Catégorie	Post	Jour xxx	Titre	Unnamed: 30	Poids	Taille	Couleur	Matiere	Origine	Unnamed: 36	Date	Coordonnees
227	228	2013	5	15	Dakar	Dakar	Senegal	0	5220	23	14	42.818	14.7136	0.2568	-17	#CHAMP!	#CHAMP!	#CHAMP!	3900.3	3839.7	0.0	5493.4		Aiguille de montre	Kër Thiossane	Workshop	Carnet de bord	1	Jour 228	Kër Thiossane		0.01	14	14	2	2		mercredi 15 mai 2013	"N 14°42	818' W 17°27	492"
233	234	2013	5	21	Dakar	Dakar	Senegal	0	5220	23	14	44.491	14.7415	0.2573	-17	#CHAMP!	#CHAMP!	#CHAMP!	3898.1	3837.7	5.0	5516.9		Cellophane	Aéroport Dakar Yoff	Adieux	Carnet de bord	1	Jour 234	Aéroport Dakar Yoff		0.1	180	16	3	2		mardi 21 mai 2013	"N 14°44	491' W 17°29	257'"
229	230	2013	5	17	Dakar	Dakar	Senegal	0	5220	23	14	42.818	14.7136	0.2568	-17	#CHAMP!	#CHAMP!	#CHAMP!	3900.3	3839.7	1.8	5497.1		Attache 	Kër Thiossane	Une journée à Kër Thiossane	Carnet de bord	1	Jour 230	Kër Thiossane		0.87	16	14	2	2		vendredi 17 mai 2013	"N 14°42	818' W 17°27	492"
221	222	2013	5	9	Dakar	Dakar	Senegal	0	5220	23	14	43.312	14.7219	0.2569	-17	#CHAMP!	#CHAMP!	#CHAMP!	3899.7	3839.1	7.6	5454.4		Pile	Sacré Coeur III	Reveil de Dakar	Carnet de bord	1	Jour 222	Sacré Coeur III		15.65	53	15	0	2		jeudi 9 mai 2013	"N 14°43	312' W 17°28	084'"
230	231	2013	5	18	Dakar	Dakar	Senegal	0	5220	23	14	42.818	14.7136	0.2568	-17	#CHAMP!	#CHAMP!	#CHAMP!	3900.3	3839.7	0.0	5497.1		Objet non identifié	Kër Thiossane 	Tournage	Carnet de bord	1	Jour 231	Kër Thiossane 		0.52	20	14	2	2		samedi 18 mai 2013	"N 14°42	818' W 17°27	492"
617	618	2014	9	6	Bangkok	Bangkok	Thailand	0	9261	24	13	44.093	13.7349	0.2397	100	34.592	100.5765	1.7554	9935.8	8959.6	0.0	46193.2		sel/poivre	Samitivej Hospital Bangkok	Convalescence	Almanach	0	Jour 618			2.19	50	8	0	2		samedi 6 septembre 2014	"N 13°44	093' E 100°34	592'"
616	617	2014	9	5	Bangkok	Bangkok	Thailand	0	9261	24	13	44.101	13.735	0.2397	100	34.589	100.5765	1.7554	9935.8	8959.6	0.0	46193.1		Cure dent	Samitivej Hospital Bangkok	Convalescence	Almanach	0	Jour 617			0.24	90	8	0	2		vendredi 5 septembre 2014	"N 13°44	101' E 100°34	589'"
615	616	2014	9	4	Bangkok	Bangkok	Thailand	0	9261	24	13	44.099	13.735	0.2397	100	34.591	100.5765	1.7554	9935.8	8959.6	0.0	46193.1		Timbres	Samitivej Hospital Bangkok	Convalescence	Almanach	0	Jour 616			0.18	43	0	5	2		jeudi 4 septembre 2014	"N 13°44	099' E 100°34	591'"
613	614	2014	9	2	Bangkok	Bangkok	Thailand	0	9261	24	13	44.093	13.7349	0.2397	100	34.596	100.5766	1.7554	9935.8	8959.6	0.0	46193.1		ruban métal	Samitivej Hospital Bangkok	Convalescence	Almanach	0	Jour 614			0.95	27	14	2	2		mardi 2 septembre 2014	"N 13°44	093' E 100°34	596'"
599	600	2014	8	19	Penang	Penang	Malaysia	0	9061	24	5	25.068	5.4178	0.0946	100	20.014	100.3336	1.7511	10622.6	9434.9	0.0	45241.2		tube de plastique saumon	"George Town	 Penang"	Tournage checkpoint 010	Almanach	0	Jour 600			0.62	25	2	3	2		mardi 19 août 2014	"N 05°25	068' E 100°20	014'"
